time,theta1,omega1,theta2,omega2,lensX,lensY
0,5,5,0,0,-3.53553,3.53553
0.033,4.935,4.935,5.94005e-05,5.94005e-05,-3.48962,3.48953
0.066,4.74171,4.74171,0.000234513,0.000234513,-3.35306,3.35273
0.099,4.42513,4.42513,0.000516193,0.000516193,-3.1294,3.12867
0.132,3.99351,3.99351,0.000889594,0.000889594,-2.82447,2.82321
0.165,3.45806,3.45806,0.00133475,0.00133475,-2.44616,2.44427
0.198,2.83271,2.83271,0.00182738,0.00182738,-2.00432,2.00174
0.231,2.13371,2.13371,0.00233979,0.00233979,-1.51042,1.50711
0.264,1.37924,1.37924,0.00284208,0.00284208,-0.97728,0.973261
0.297,0.588912,0.588912,0.00330325,0.00330325,-0.418759,0.414088
0.33,-0.216727,-0.216727,0.00369253,0.00369253,0.150638,-0.15586
0.363,-1.01673,-1.01673,0.00398066,0.00398066,0.716123,-0.721753
0.396,-1.7903,-1.7903,0.00414114,0.00414114,1.26301,-1.26886
0.429,-2.51733,-2.51733,0.00415142,0.00415142,1.77709,-1.78296
0.462,-3.17891,-3.17891,0.00399396,0.00399396,2.245,-2.25065
0.495,-3.75784,-3.75784,0.00365713,0.00365713,2.65461,-2.65978
0.528,-4.23907,-4.23907,0.00313593,0.00313593,2.99526,-2.9997
0.561,-4.6101,-4.6101,0.00243248,0.00243248,3.25811,-3.26155
0.594,-4.86127,-4.86127,0.00155626,0.00155626,3.43634,-3.43854
0.627,-4.98605,-4.98605,0.000524067,0.000524067,3.5253,-3.52604
0.66,-4.98121,-4.98121,-0.000640217,-0.000640217,3.5227,-3.52179
0.693,-4.84686,-4.84686,-0.00190621,-0.00190621,3.42859,-3.4259
0.726,-4.5865,-4.5865,-0.00323781,-0.00323781,3.24543,-3.24085
0.759,-4.20689,-4.20689,-0.0045942,-0.0045942,2.97797,-2.97147
0.792,-3.71792,-3.71792,-0.00593111,-0.00593111,2.63316,-2.62477
0.825,-3.13228,-3.13228,-0.00720216,-0.00720216,2.21995,-2.20977
0.858,-2.46521,-2.46521,-0.00836039,-0.00836039,1.74908,-1.73726
0.891,-1.73405,-1.73405,-0.00935983,-0.00935983,1.23278,-1.21954
0.924,-0.95781,-0.95781,-0.0101571,-0.0101571,0.684456,-0.670092
0.957,-0.156666,-0.156666,-0.0107131,-0.0107131,0.118355,-0.103204
0.99,0.648552,0.648552,-0.0109943,-0.0109943,-0.450821,0.46637
1.023,1.43691,1.43691,-0.0109743,-0.0109743,-1.00829,1.02381
1.056,2.18791,2.18791,-0.0106348,-0.0106348,-1.53956,1.5546
1.089,2.88202,2.88202,-0.00996677,-0.00996677,-2.03085,2.04494
1.122,3.50121,3.50121,-0.00897119,-0.00897119,-2.46939,2.48207
1.155,4.02937,4.02937,-0.00765918,-0.00765918,-2.84378,2.85461
1.188,4.45277,4.45277,-0.00605231,-0.00605231,-3.14431,3.15287
1.221,4.76041,4.76041,-0.00418228,-0.00418228,-3.36316,3.36908
1.254,4.94429,4.94429,-0.00209042,-0.00209042,-3.49466,3.49762
1.287,4.99962,4.99962,0.000173268,0.000173268,-3.53539,3.53514
1.32,4.92497,4.92497,0.00255124,0.00255124,-3.48428,3.48067
1.353,4.72227,4.72227,0.00497991,0.00497991,-3.34267,3.33563
1.386,4.39681,4.39681,0.00739131,0.00739131,-3.11424,3.10379
1.419,3.95703,3.95703,0.00971501,0.00971501,-2.80491,2.79118
1.452,3.41438,3.41438,0.0118802,0.0118802,-2.42273,2.40593
1.485,2.78296,2.78296,0.0138176,0.0138176,-1.97762,1.95808
1.518,2.07919,2.07919,0.0154619,0.0154619,-1.48114,1.45928
1.551,1.32136,1.32136,0.0167536,0.0167536,-0.946191,0.922498
1.584,0.529182,0.529182,0.0176411,0.0176411,-0.386663,0.361714
1.617,-0.276756,-0.276756,0.0180826,0.0180826,0.18291,-0.208482
1.65,-1.0755,-1.0755,0.0180474,0.0180474,0.747731,-0.773254
1.683,-1.84628,-1.84628,0.0175174,0.0175174,1.29313,-1.3179
1.716,-2.56906,-2.56906,0.0164881,0.0164881,1.80494,-1.82826
1.749,-3.22505,-3.22505,0.0149691,0.0149691,2.26987,-2.29104
1.782,-3.79719,-3.79719,0.0129844,0.0129844,2.67584,-2.6942
1.815,-4.27061,-4.27061,0.0105718,0.0105718,3.0123,-3.02725
1.848,-4.633,-4.633,0.00778289,0.00778289,3.27052,-3.28153
1.881,-4.87494,-4.87494,0.00468157,0.00468157,3.44379,-3.45041
1.914,-4.99014,-4.99014,0.0013427,0.0013427,3.52761,-3.52951
1.947,-4.9756,-4.9756,-0.00214964,-0.00214964,3.5198,-3.51676
1.98,-4.8317,-4.8317,-0.00570431,-0.00570431,3.42056,-3.4125
2.013,-4.56219,-4.56219,-0.00922548,-0.00922548,3.23248,-3.21943
2.046,-4.17407,-4.17407,-0.0126152,-0.0126152,2.96043,-2.94259
2.079,-3.67743,-3.67743,-0.0157761,-0.0157761,2.61149,-2.58918
2.112,-3.08518,-3.08518,-0.0186143,-0.0186143,2.19471,-2.16839
2.145,-2.41272,-2.41272,-0.0210418,-0.0210418,1.72093,-1.69117
2.178,-1.67754,-1.67754,-0.0229796,-0.0229796,1.20245,-1.16995
2.211,-0.898743,-0.898743,-0.0243598,-0.0243598,0.652732,-0.618282
2.244,-0.0965806,-0.0965806,-0.025128,-0.025128,0.086061,-0.0505246
2.277,0.708092,0.708092,-0.0252453,-0.0252453,-0.482846,0.518548
2.31,1.49435,1.49435,-0.0246893,-0.0246893,-1.03921,1.07413
2.343,2.24177,2.24177,-0.023456,-0.023456,-1.56858,1.60175
2.376,2.93089,2.93089,-0.0215596,-0.0215596,-2.05721,2.0877
2.409,3.54382,3.54382,-0.0190331,-0.0190331,-2.4924,2.51932
2.442,4.06462,4.06462,-0.0159275,-0.0159275,-2.86286,2.88538
2.475,4.47974,4.47974,-0.0123113,-0.0123113,-3.15895,3.17636
2.508,4.77839,4.77839,-0.00826851,-0.00826851,-3.37299,3.38468
2.541,4.95281,4.95281,-0.00389725,-0.00389725,-3.49941,3.50492
2.574,4.99847,4.99847,0.000693017,0.000693017,-3.53494,3.53396
2.607,4.91418,4.91418,0.00538403,0.00538403,-3.47865,3.47104
2.64,4.70212,4.70212,0.0100518,0.0100518,-3.33201,3.31779
2.673,4.36782,4.36782,0.01457,0.01457,-3.09882,3.07821
2.706,3.91996,3.91996,0.0188132,0.0188132,-2.78513,2.75852
2.739,3.37018,3.37018,0.0226604,0.0226604,-2.3991,2.36706
2.772,2.73279,2.73279,0.0259985,0.0259985,-1.95076,1.91399
2.805,2.02435,2.02435,0.0287257,0.0287257,-1.45175,1.41112
2.838,1.26328,1.26328,0.0307541,0.0307541,-0.915023,0.87153
2.871,0.469373,0.469373,0.032013,0.032013,-0.354533,0.30926
2.904,-0.336741,-0.336741,0.0324507,0.0324507,0.215165,-0.261058
2.937,-1.1341,-1.1341,0.0320368,0.0320368,0.779275,-0.824582
2.97,-1.90197,-1.90197,0.030763,0.030763,1.32314,-1.36665
3.003,-2.62039,-2.62039,0.0286443,0.0286443,1.83264,-1.87315
3.036,-3.27069,-3.27069,0.0257185,0.0257185,2.29454,-2.33091
3.069,-3.83595,-3.83595,0.0220464,0.0220464,2.69684,-2.72802
3.102,-4.30149,-4.30149,0.01771,0.01771,3.02909,-3.05413
3.135,-4.65519,-4.65519,0.012811,0.012811,3.28266,-3.30077
3.168,-4.88786,-4.88786,0.0074683,0.0074683,3.45096,-3.46152
3.201,-4.99346,-4.99346,0.00181528,0.00181528,3.52962,-3.53219
3.234,-4.96923,-4.96923,-0.00400357,-0.00400357,3.51661,-3.51095
3.267,-4.81581,-4.81581,-0.00983641,-0.00983641,3.41225,-3.39834
3.3,-4.53719,-4.53719,-0.0155279,-0.0155279,3.21926,-3.1973
3.333,-4.14061,-4.14061,-0.0209236,-0.0209236,2.94265,-2.91306
3.366,-3.63638,-3.63638,-0.0258736,-0.0258736,2.5896,-2.55301
3.399,-3.03761,-3.03761,-0.0302374,-0.0302374,2.16929,-2.12653
3.432,-2.35987,-2.35987,-0.0338872,-0.0338872,1.69264,-1.64472
3.465,-1.62077,-1.62077,-0.036712,-0.036712,1.17202,-1.1201
3.498,-0.83954,-0.83954,-0.038621,-0.038621,0.620953,-0.566335
3.531,-0.0364826,-0.0364826,-0.0395457,-0.0395457,0.0537602,0.00216596
3.564,0.767522,0.767522,-0.0394433,-0.0394433,-0.51483,0.570611
3.597,1.55157,1.55157,-0.0382971,-0.0382971,-1.07005,1.12421
3.63,2.29528,2.29528,-0.0361184,-0.0361184,-1.59747,1.64855
3.663,2.97932,2.97932,-0.0329461,-0.0329461,-2.0834,2.12999
3.696,3.58589,3.58589,-0.0288465,-0.0288465,-2.51521,2.55601
3.729,4.09924,4.09924,-0.0239117,-0.0239117,-2.88169,2.91551
3.762,4.50602,4.50602,-0.0182579,-0.0182579,-3.17332,3.19915
3.795,4.79564,4.79564,-0.0120223,-0.0120223,-3.38253,3.39953
3.828,4.96059,4.96059,-0.00536022,-0.00536022,-3.50387,3.51145
3.861,4.99656,4.99656,0.00155909,0.00155909,-3.53421,3.532
3.894,4.90264,4.90264,0.00855658,0.00855658,-3.47274,3.46064
3.927,4.68125,4.68125,0.0154481,0.0154481,-3.32107,3.29922
3.96,4.33816,4.33816,0.0220492,0.0220492,-3.08313,3.05195
3.993,3.88228,3.88228,0.0281802,0.0281802,-2.76511,2.72526
4.026,3.32547,3.32547,0.0336707,0.0336707,-2.37527,2.32765
4.059,2.68221,2.68221,0.0383649,0.0383649,-1.92373,1.86948
4.092,1.96921,1.96921,0.0421254,0.0421254,-1.42223,1.36265
4.125,1.20501,1.20501,0.0448375,0.0448375,-0.883779,0.820369
4.158,0.409494,0.409494,0.0464125,0.0464125,-0.322375,0.256737
4.191,-0.396672,-0.396672,0.0467906,0.0467906,0.247403,-0.313575
4.224,-1.19252,-1.19252,0.0459427,0.0459427,0.810755,-0.875728
4.257,-1.95737,-1.95737,0.0438721,0.0438721,1.35305,-1.41509
4.29,-2.67133,-2.67133,0.0406144,0.0406144,1.8602,-1.91763
4.323,-3.31583,-3.31583,0.0362373,0.0362373,2.31903,-2.37027
4.356,-3.87413,-3.87413,0.0308393,0.0308393,2.71762,-2.76123
4.389,-4.33171,-4.33171,0.0245475,0.0245475,3.04562,-3.08034
4.422,-4.67667,-4.67667,0.0175145,0.0175145,3.29452,-3.31929
4.455,-4.90004,-4.90004,0.00991512,0.00991512,3.45784,-3.47186
4.488,-4.99602,-4.99602,0.0019415,0.0019415,3.53134,-3.53409
4.521,-4.96211,-4.96211,-0.0062013,-0.0062013,3.51312,-3.50435
4.554,-4.79919,-4.79919,-0.0143008,-0.0143008,3.40365,-3.38343
4.587,-4.5115,-4.5115,-0.0221425,-0.0221425,3.20577,-3.17445
4.62,-4.10652,-4.10652,-0.0295157,-0.0295157,2.92462,-2.88288
4.653,-3.59477,-3.59477,-0.0362191,-0.0362191,2.5675,-2.51628
4.686,-2.98957,-2.98957,-0.0420664,-0.0420664,2.14369,-2.0842
4.719,-2.30665,-2.30665,-0.0468909,-0.0468909,1.6642,-1.59789
4.752,-1.56376,-1.56376,-0.0505512,-0.0505512,1.14149,-1.07
4.785,-0.780211,-0.780211,-0.0529344,-0.0529344,0.589123,-0.514262
4.818,0.0236182,0.0236182,-0.05396,-0.05396,0.0214548,0.0548561
4.851,0.826832,0.826832,-0.053582,-0.053582,-0.546771,0.622547
4.884,1.60855,1.60855,-0.0517914,-0.0517914,-1.10079,1.17404
4.917,2.34844,2.34844,-0.0486161,-0.0486161,-1.62622,1.69498
4.95,3.02728,3.02728,-0.044121,-0.044121,-2.10941,2.17181
4.983,3.62742,3.62742,-0.0384069,-0.0384069,-2.53781,2.59213
5.016,4.13324,4.13324,-0.0316082,-0.0316082,-2.90029,2.94499
5.049,4.53161,4.53161,-0.0238894,-0.0238894,-3.18744,3.22122
5.082,4.81216,4.81216,-0.0154419,-0.0154419,-3.39179,3.41363
5.115,4.9676,4.9676,-0.00647856,-0.00647856,-3.50804,3.5172
5.148,4.99389,4.99389,0.00277122,0.00277122,-3.53317,3.52925
5.181,4.89035,4.89035,0.0120676,0.0120676,-3.46653,3.44946
5.214,4.65966,4.65966,0.0211665,0.0211665,-3.30985,3.27991
5.247,4.30784,4.30784,0.0298257,0.0298257,-3.06719,3.02501
5.28,3.84401,3.84401,0.0378119,0.0378119,-2.74487,2.69139
5.313,3.28025,3.28025,0.0449064,0.0449064,-2.35124,2.28774
5.346,2.63121,2.63121,0.0509113,0.0509113,-1.89655,1.82455
5.379,1.91377,1.91377,0.0556552,0.0556552,-1.39259,1.31388
5.412,1.14656,1.14656,0.0589975,0.0589975,-0.852461,0.769026
5.445,0.349556,0.349556,0.0608333,0.0608333,-0.290189,0.204158
5.478,-0.456539,-0.456539,0.0610957,0.0610957,0.279621,-0.366023
5.511,-1.25076,-1.25076,0.059759,0.059759,0.842167,-0.926679
5.544,-2.01247,-2.01247,0.0568389,0.0568389,1.38284,-1.46322
5.577,-2.72185,-2.72185,0.0523932,0.0523932,1.88759,-1.96169
5.61,-3.36047,-3.36047,0.0465207,0.0465207,2.34331,-2.4091
5.643,-3.91172,-3.91172,0.0393589,0.0393589,2.73817,-2.79383
5.676,-4.36127,-4.36127,0.0310809,0.0310809,3.0619,-3.10586
5.709,-4.69743,-4.69743,0.0218913,0.0218913,3.3061,-3.33706
5.742,-4.91147,-4.91147,0.0120208,0.0120208,3.46443,-3.48143
5.775,-4.99781,-4.99781,0.00172117,0.00172117,3.53277,-3.5352
5.808,-4.95422,-4.95422,-0.00874198,-0.00874198,3.50934,-3.49698
5.841,-4.78183,-4.78183,-0.0190956,-0.0190956,3.39477,-3.36776
5.874,-4.48512,-4.48512,-0.0290663,-0.0290663,3.19201,-3.1509
5.907,-4.0718,-4.0718,-0.0383879,-0.0383879,2.90634,-2.85205
5.94,-3.55262,-3.55262,-0.0468083,-0.0468083,2.54518,-2.47899
5.973,-2.94109,-2.94109,-0.0540961,-0.0540961,2.11791,-2.04141
6.006,-2.25308,-2.25308,-0.0600474,-0.0600474,1.63563,-1.55071
6.039,-1.50651,-1.50651,-0.0644911,-0.0644911,1.11086,-1.01966
6.072,-0.720767,-0.720767,-0.0672939,-0.0672939,0.557243,-0.462075
6.105,0.0837117,0.0837117,-0.0683643,-0.0683643,-0.0108523,0.107534
6.138,0.886012,0.886012,-0.0676553,-0.0676553,-0.578666,0.674345
6.171,1.66528,1.66528,-0.0651664,-0.0651664,-1.13145,1.22361
6.204,2.40124,2.40124,-0.0609436,-0.0609436,-1.65484,1.74103
6.237,3.07478,3.07478,-0.0550794,-0.0550794,-2.13525,2.21315
6.27,3.66838,3.66838,-0.0477101,-0.0477101,-2.5602,2.62767
6.303,4.1666,4.1666,-0.0390133,-0.0390133,-2.91865,2.97382
6.336,4.5565,4.5565,-0.0292032,-0.0292032,-3.20128,3.24258
6.369,4.82793,4.82793,-0.0185256,-0.0185256,-3.40077,3.42697
6.402,4.97385,4.97385,-0.00725163,-0.00725163,-3.51192,3.52217
6.435,4.99045,4.99045,0.00432904,0.00432904,-3.53184,3.52572
6.468,4.87731,4.87731,0.0159157,0.0159157,-3.46003,3.43753
6.501,4.63737,4.63737,0.0272045,0.0272045,-3.29835,3.25988
6.534,4.27686,4.27686,0.0378962,0.0378962,-3.05099,2.9974
6.567,3.80516,3.80516,0.0477043,0.0477043,-2.72439,2.65692
6.6,3.23454,3.23454,0.0563626,0.0563626,-2.32702,2.24731
6.633,2.57982,2.57982,0.0636323,0.0636323,-1.8692,1.77921
6.666,1.85803,1.85803,0.0693091,0.0693091,-1.36284,1.26482
6.699,1.08794,1.08794,0.073228,0.073228,-0.821072,0.717512
6.732,0.289568,0.289568,0.075269,0.075269,-0.257979,0.151533
6.765,-0.516332,-0.516332,0.0753599,0.0753599,0.311815,-0.41839
6.798,-1.30881,-1.30881,0.0734794,0.0734794,0.873509,-0.977425
6.831,-2.06725,-2.06725,0.0696574,0.0696574,1.41251,-1.51102
6.864,-2.77195,-2.77195,0.0639753,0.0639753,1.91483,-2.0053
6.897,-3.40459,-3.40459,0.0565641,0.0565641,2.36741,-2.4474
6.93,-3.9487,-3.9487,0.0476014,0.0476014,2.75849,-2.82581
6.963,-4.39016,-4.39016,0.0373074,0.0373074,3.07793,-3.13069
6.996,-4.71747,-4.71747,0.0259391,0.0259391,3.31742,-3.3541
7.029,-4.92214,-4.92214,0.0137843,0.0137843,3.47073,-3.49023
7.062,-4.99884,-4.99884,0.00115419,0.00115419,3.5339,-3.53553
7.095,-4.94558,-4.94558,-0.0116247,-0.0116247,3.50527,-3.48883
7.128,-4.76374,-4.76374,-0.0242189,-0.0242189,3.3856,-3.35135
7.161,-4.45805,-4.45805,-0.0362966,-0.0362966,3.17799,-3.12665
7.194,-4.03646,-4.03646,-0.0475365,-0.0475365,2.88782,-2.8206
7.227,-3.50993,-3.50993,-0.0576365,-0.0576365,2.52265,-2.44114
7.26,-2.89215,-2.89215,-0.0663215,-0.0663215,2.09196,-1.99816
7.293,-2.19918,-2.19918,-0.0733509,-0.0733509,1.60692,-1.50319
7.326,-1.44903,-1.44903,-0.0785255,-0.0785255,1.08015,-0.969095
7.359,-0.661217,-0.661217,-0.081693,-0.081693,0.525317,-0.409786
7.392,0.143788,0.143788,-0.0827524,-0.0827524,-0.0431585,0.160188
7.425,0.945052,0.945052,-0.0816569,-0.0816569,-0.610513,0.725993
7.458,1.72175,1.72175,-0.078416,-0.078416,-1.16201,1.27291
7.491,2.45367,2.45367,-0.0730954,-0.0730954,-1.68332,1.7867
7.524,3.12181,3.12181,-0.0658163,-0.0658163,-2.16091,2.25399
7.557,3.70878,3.70878,-0.0567518,-0.0567518,-2.58237,2.66263
7.59,4.19933,4.19933,-0.0461237,-0.0461237,-2.93676,3.00199
7.623,4.5807,4.5807,-0.0341967,-0.0341967,-3.21486,3.26322
7.656,4.84297,4.84297,-0.0212719,-0.0212719,-3.40946,3.43954
7.689,4.97934,4.97934,-0.00767886,-0.00767886,-3.5155,3.52636
7.722,4.98625,4.98625,0.00623207,0.00623207,-3.53022,3.52141
7.755,4.86353,4.86353,0.0200995,0.0200995,-3.45325,3.42482
7.788,4.61437,4.61437,0.0335598,0.0335598,-3.28658,3.23912
